#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin_alignment_1_evidence" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin_alignment_1_evidence" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin_alignment_1_evidence" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_1_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_1_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin_alignment_1_evidence" name="distribution" x="@BDBirthRate.t:twin_alignment_1_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin_alignment_1_evidence" name="distribution" x="@BDDeathRate.t:twin_alignment_1_evidence">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:twin_alignment_1_evidence" name="distribution">
#            <parameter id="kappa1.s:twin_alignment_1_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:twin_alignment_1_evidence" name="distribution">
#            <parameter id="kappa2.s:twin_alignment_1_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_1_evidence" id="treeLikelihood.twin_alignment_1_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_1_evidence">
#            <siteModel id="SiteModel.s:twin_alignment_1_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_1_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_1_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_1_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:twin_alignment_1_evidence" kappa1="@kappa1.s:twin_alignment_1_evidence" kappa2="@kappa2.s:twin_alignment_1_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:twin_alignment_1_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin_alignment_1_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_1_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_1_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate
30	-17306.63200605289	-17314.368937346168	-17306.63200605289	-7.7369312932802075	-17306.63200605289	1.4457534367790208	1.4054062449060536	1.7332639212872096	0.28584604141149655	0.2950674956169665	0.23689143377713817	0.18219502919439887	-4.358382080623373	1.9015841883930737	0.16662970032569113
31	-17246.38041428066	-17244.216878371022	-17246.38041428066	2.1635359096368605	-17246.38041428066	0.7524730870710887	0.8749432896993983	0.6241995641971336	0.2876039554100502	0.3049130938406524	0.2365014918133058	0.17098145893599165	4.9467292349722145	3.433475302149245	0.25142709736747615
32	-17005.518050193965	-17009.743261259413	-17005.518050193965	-4.225211065446765	-17005.518050193965	1.1594810597926277	1.4251260499997647	0.6761786266866608	0.29265074384789963	0.3049130938406524	0.23047374370141663	0.17196241861003136	-1.2252238528919603	1.9309949607746142	0.3181310253952104
33	-16866.818520361292	-16866.95086161133	-16866.818520361292	-0.13234125003776454	-16866.818520361292	1.0427237439049633	0.775241914941642	2.4158004418285643	0.3018454252415335	0.3049130938406524	0.2244996654516889	0.1687418154661252	3.287397643455506	2.9276537184301668	0.1414028715256963
34	-16761.52807067522	-16761.44886036886	-16761.52807067522	0.07921030636063064	-16761.52807067522	0.7656175723506006	1.1478870997734487	1.0998764694798826	0.3190969950286364	0.30222491517585126	0.2073305391475702	0.17134755064794216	3.0962852908062364	2.347843249707476	0.1966777453421464
35	-16752.41687667742	-16754.302069410518	-16752.41687667742	-1.8851927330969034	-16752.41687667742	0.768940467934456	1.1478870997734487	1.0142088686723654	0.3138582182185926	0.29503752026123936	0.2140242558000092	0.17708000572015883	1.0998538658908066	3.427023097460498	0.1440417865916173
36	-16520.318956307892	-16522.144263327787	-16520.318956307892	-1.8253070198967203	-16520.318956307892	0.7409911274467789	1.7717581136209395	2.152957681219903	0.3101496336352396	0.29615230709465834	0.21784734727253438	0.17585071199756766	1.8736944721396505	2.761371380290964	0.6401651270765768
37	-16415.43974869973	-16417.90758304129	-16415.43974869973	-2.4678343415600534	-16415.43974869973	0.7267933894940458	1.3249463396312386	2.2676598755525834	0.3121825203425955	0.2949307806119935	0.21687315365753645	0.17601354538787461	1.0922192833723683	2.6325000091817112	0.25164450790084136
38	-16394.21777991591	-16394.548579840328	-16394.21777991591	-0.33079992441693795	-16394.21777991591	0.7088111920757837	1.3037196930946873	0.9564818639344226	0.2938472514155374	0.28392174420185434	0.23968376664800736	0.18254723773460096	2.6959694078063725	3.4722582608137627	0.1338885820119732
39	-16194.995673636711	-16198.08841675926	-16194.995673636711	-3.0927431225480513	-16194.995673636711	1.1924539245401309	1.2629637845167727	1.4836869869521159	0.2938472514155374	0.2886290076320565	0.23968376664800736	0.17783997430439877	0.12474856030796033	2.2041467745417602	0.2832592231349625
40	-16102.568465356673	-16104.64730089073	-16102.568465356673	-2.0788355340573963	-16102.568465356673	0.8103633919792329	0.9249530720059418	1.42371881130028	0.2938472514155374	0.2886290076320565	0.23968376664800736	0.17783997430439877	0.9863061756150264	4.4162716876959385	0.009948709809595823
41	-16068.958528667816	-16070.093182921579	-16068.958528667816	-1.1346542537623676	-16068.958528667816	0.7290073937743852	1.2522122451378235	1.9332630019802195	0.2962970991925713	0.2886290076320565	0.24541574589412474	0.1696581472812475	2.263038973730456	3.0568793618707057	0.10722554222603352
42	-16043.941577509977	-16049.770954647924	-16043.941577509977	-5.829377137947002	-16043.941577509977	0.9063416749702597	1.3543965838500471	1.9389181986383734	0.287346183798074	0.2836015500461912	0.2663564573490967	0.16269580880663823	-2.3878967253107097	1.9296591491083597	0.7029092190509002
43	-16039.917361395728	-16037.048849174107	-16039.917361395728	2.868512221620639	-16039.917361395728	0.6560183894506063	0.874836939713806	1.1449924162048992	0.2882215342720663	0.2957798763300935	0.2555728350823787	0.1604257543154616	5.804869460339662	2.6389547307973706	0.14007336649780866
44	-15994.374637022702	-15995.730350533855	-15994.374637022702	-1.3557135111539496	-15994.374637022702	0.722474653794293	0.8542656330222799	0.7888036398163515	0.2847210935041465	0.29661836666766256	0.250523156586293	0.16813738324189811	1.452289812396228	2.7413891361434133	0.015450556934437745
45	-15967.513078237062	-15968.76660569045	-15967.513078237062	-1.2535274533901495	-15967.513078237062	0.7307397621706868	0.9671580227884059	1.5212129290803467	0.2891627245790162	0.28819021608409257	0.24430955924842296	0.17833750008846835	1.8663106416202497	3.995963905554123	0.10051229168539601
46	-15900.879069986922	-15900.241253359643	-15900.879069986922	0.6378166272787749	-15900.879069986922	0.7465649411900431	0.9493033034743699	1.0141311549555514	0.3092938611402106	0.28520960087486785	0.22318261591544677	0.1823139220694748	3.549231894519492	2.4222621840924194	0.2957986081155779
47	-15782.210738671982	-15784.631837961128	-15782.210738671982	-2.421099289146648	-15782.210738671982	1.0276549329299949	0.9172454355629557	0.7960677332246836	0.3070208444740445	0.29396096558304724	0.22566150732034448	0.17335668262256385	0.4088953837129168	1.8805176850278975	0.3360396818212429
48	-15774.72634272717	-15777.311010399884	-15774.72634272717	-2.584667672714736	-15774.72634272717	0.8428129156618076	0.811314911779182	0.7960677332246836	0.3018353221456889	0.28796682112315297	0.23630191000250148	0.1738959467286567	0.21275170269243704	1.812139691890532	0.28508085409743594
49	-15754.733588333498	-15756.437637470495	-15754.733588333498	-1.7040491369978248	-15754.733588333498	0.8793633996293767	0.9144415885703694	0.8600583409693062	0.303014654351213	0.2797749059260296	0.23630191000250148	0.18090852972025598	1.1434768142836838	2.3337523332829453	0.16063957776632642
